candidate_id,rank,score,reasoning
CAND_0061257,1,5.870390,"Staff Machine Learning Engineer, 8.0y: career history shows hands-on retrieval/search and ranking work — aligns with the JD's emphasis on embeddings-based retrieval and evaluation rigor. expert in Vector Representations; recently active, 87% recruiter response"
CAND_0018499,2,5.856446,"Senior Machine Learning Engineer, 7.2y: career history shows hands-on retrieval/search and ranking work — matches the JD's preference for hands-on ML systems over pure research. expert in Recommendation Systems; recently active, 61% recruiter response"
CAND_0006567,3,5.853222,"Senior AI Engineer, 7.9y: career history shows hands-on retrieval/search and ranking work — aligns with the JD's emphasis on embeddings-based retrieval and evaluation rigor. advanced in NLP; recently active, 79% recruiter response"
CAND_0046525,4,5.851704,"Senior Machine Learning Engineer, 6.1y: career history shows hands-on retrieval/search and embeddings work — directly matches the JD's need for production retrieval and ranking systems. advanced in pgvector; recently active, 88% recruiter response"
CAND_0011687,5,5.847583,"Senior NLP Engineer, 7.8y: career history shows hands-on retrieval/search and ranking work — aligns with the JD's emphasis on embeddings-based retrieval and evaluation rigor. advanced in Semantic Search; recently active, 89% recruiter response"
CAND_0052328,6,5.830976,"Recommendation Systems Engineer, 6.5y: career history shows hands-on retrieval/search and embeddings work — maps to the JD's core mandate of owning the retrieval + ranking intelligence layer. expert in QLoRA; active ~2mo ago, 79% recruiter response"
CAND_0081846,7,5.830745,"Lead AI Engineer, 6.7y: career history shows hands-on retrieval/search and ranking work — fits the JD's 'built search/ranking/recsys at a product company' profile. expert in Information Retrieval; recently active, 73% recruiter response"
CAND_0068811,8,5.829806,"Applied ML Engineer, 8.0y: career history shows hands-on recommendation & matching and embeddings work — fits the JD's 'built search/ranking/recsys at a product company' profile. advanced in Weaviate; recently active, 42% recruiter response"
CAND_0041669,9,5.829115,"Recommendation Systems Engineer, 8.0y: career history shows hands-on retrieval/search and ranking work — matches the JD's preference for hands-on ML systems over pure research. advanced in Weaviate; recently active, 77% recruiter response"
CAND_0027691,10,5.825017,"NLP Engineer, 6.5y: career history shows hands-on retrieval/search and embeddings work — fits the JD's 'built search/ranking/recsys at a product company' profile. expert in Recommendation Systems; active ~2mo ago, 68% recruiter response"
CAND_0071974,11,5.819328,"Senior AI Engineer, 7.8y with demonstrated retrieval/search and ranking experience; matches the JD's preference for hands-on ML systems over pure research. expert in Qdrant; recently active, 76% recruiter response"
CAND_0091909,12,5.819308,"Machine Learning Engineer, 6.9y with demonstrated recommendation & matching and embeddings experience; matches the JD's preference for hands-on ML systems over pure research. advanced in Qdrant; active ~2mo ago, 65% recruiter response"
CAND_0052682,13,5.818916,"NLP Engineer, 6.6y with demonstrated recommendation & matching and embeddings experience; aligns with the JD's emphasis on embeddings-based retrieval and evaluation rigor. expert in QLoRA; active ~2mo ago, 88% recruiter response"
CAND_0077337,14,5.816893,"Staff Machine Learning Engineer, 7.0y with demonstrated ranking and recommendation & matching experience; aligns with the JD's emphasis on embeddings-based retrieval and evaluation rigor. expert in LLMs; recently active, 95% recruiter response"
CAND_0018549,15,5.815483,"Recommendation Systems Engineer, 6.8y with demonstrated recommendation & matching and embeddings experience; matches the JD's preference for hands-on ML systems over pure research. expert in OpenSearch; recently active, 73% recruiter response"
CAND_0050454,16,5.812445,"AI Engineer, 6.8y with demonstrated retrieval/search and embeddings experience; matches the JD's preference for hands-on ML systems over pure research. advanced in Qdrant; recently active, 77% recruiter response"
CAND_0068351,17,5.810864,"Lead AI Engineer, 6.4y with demonstrated retrieval/search and ranking experience; fits the JD's 'built search/ranking/recsys at a product company' profile. expert in Deep Learning; concern: not currently marked open to work"
CAND_0075249,18,5.810138,"Applied ML Engineer, 6.2y with demonstrated recommendation & matching and embeddings experience; matches the JD's preference for hands-on ML systems over pure research. expert in Pinecone; recently active, 82% recruiter response"
CAND_0088025,19,5.810013,"Staff Machine Learning Engineer, 8.6y with demonstrated retrieval/search and ranking experience; directly matches the JD's need for production retrieval and ranking systems. expert in Elasticsearch; recently active, 83% recruiter response"
CAND_0064326,20,5.809508,"Search Engineer, 7.6y with demonstrated retrieval/search and ranking experience; fits the JD's 'built search/ranking/recsys at a product company' profile. expert in Deep Learning; recently active, 94% recruiter response"
CAND_0078002,21,5.809094,"Machine Learning Engineer, 6.3y with demonstrated recommendation & matching and embeddings experience; aligns with the JD's emphasis on embeddings-based retrieval and evaluation rigor. expert in QLoRA; recently active, 86% recruiter response"
CAND_0002025,22,5.808191,"Senior AI Engineer, 5.9y with demonstrated ranking and recommendation & matching experience; directly matches the JD's need for production retrieval and ranking systems. expert in Deep Learning; recently active, 80% recruiter response"
CAND_0040117,23,5.808079,"Recommendation Systems Engineer, 6.5y with demonstrated recommendation & matching and embeddings experience; aligns with the JD's emphasis on embeddings-based retrieval and evaluation rigor. expert in Embeddings; active ~2mo ago, 66% recruiter response"
CAND_0079387,24,5.807480,"AI Engineer, 6.9y with demonstrated recommendation & matching and embeddings experience; aligns with the JD's emphasis on embeddings-based retrieval and evaluation rigor. expert in Sentence Transformers; recently active, 81% recruiter response"
CAND_0046064,25,5.806992,"Senior NLP Engineer, 8.9y with demonstrated retrieval/search and ranking experience; matches the JD's preference for hands-on ML systems over pure research. advanced in Deep Learning; recently active, 78% recruiter response"
CAND_0008425,26,5.806512,"Senior NLP Engineer, 7.8y with demonstrated retrieval/search and embeddings experience; directly matches the JD's need for production retrieval and ranking systems. expert in Information Retrieval; recently active, 66% recruiter response"
CAND_0093193,27,5.806282,"Senior Machine Learning Engineer, 7.9y with demonstrated retrieval/search and recommendation & matching experience; maps to the JD's core mandate of owning the retrieval + ranking intelligence layer. advanced in Qdrant; recently active, 61% recruiter response"
CAND_0007009,28,5.805832,"Recommendation Systems Engineer, 7.9y with demonstrated retrieval/search and embeddings experience; matches the JD's preference for hands-on ML systems over pure research. expert in QLoRA; active ~2mo ago, 62% recruiter response"
CAND_0062247,29,5.805088,"AI Engineer, 7.3y with demonstrated retrieval/search and embeddings experience; aligns with the JD's emphasis on embeddings-based retrieval and evaluation rigor. expert in Hugging Face Transformers; recently active, 78% recruiter response"
CAND_0076163,30,5.804318,"NLP Engineer, 6.9y with demonstrated retrieval/search and ranking experience; maps to the JD's core mandate of owning the retrieval + ranking intelligence layer. advanced in Weaviate; recently active, 84% recruiter response"
CAND_0037566,31,5.803740,"Machine Learning Engineer, 6.9y with demonstrated retrieval/search and embeddings experience; fits the JD's 'built search/ranking/recsys at a product company' profile. expert in Elasticsearch; recently active, 50% recruiter response"
CAND_0036184,32,5.802186,"Recommendation Systems Engineer, 6.0y with demonstrated retrieval/search and embeddings experience; matches the JD's preference for hands-on ML systems over pure research. expert in Semantic Search; recently active, 90% recruiter response"
CAND_0014440,33,5.798920,"Recommendation Systems Engineer, 6.4y with demonstrated retrieval/search and ranking experience; directly matches the JD's need for production retrieval and ranking systems. expert in FAISS; recently active, 64% recruiter response"
CAND_0009024,34,5.796980,"Search Engineer, 5.2y with demonstrated recommendation & matching and embeddings experience; matches the JD's preference for hands-on ML systems over pure research. expert in OpenSearch; recently active, 46% recruiter response"
CAND_0060054,35,5.796957,"AI Engineer, 6.4y with demonstrated recommendation & matching and embeddings experience; matches the JD's preference for hands-on ML systems over pure research. expert in Recommendation Systems; concern: not currently marked open to work"
CAND_0005260,36,5.796834,"Senior NLP Engineer, 5.2y with demonstrated retrieval/search and ranking experience; directly matches the JD's need for production retrieval and ranking systems. expert in NLP; concern: not currently marked open to work"
CAND_0061265,37,5.796505,"Recommendation Systems Engineer, 6.6y with demonstrated retrieval/search and embeddings experience; directly matches the JD's need for production retrieval and ranking systems. expert in Hugging Face Transformers; concern: long notice period (120 days)"
CAND_0058688,38,5.795922,"AI Engineer, 6.7y with demonstrated recommendation & matching and embeddings experience; maps to the JD's core mandate of owning the retrieval + ranking intelligence layer. advanced in QLoRA; concern: based outside India, willing to relocate"
CAND_0050876,39,5.795611,"Applied ML Engineer, 6.0y with demonstrated recommendation & matching and embeddings experience; fits the JD's 'built search/ranking/recsys at a product company' profile. advanced in Qdrant; recently active, 67% recruiter response"
CAND_0037980,40,5.795393,"Senior Applied Scientist, 9.0y with demonstrated retrieval/search and ranking experience; directly matches the JD's need for production retrieval and ranking systems. expert in LoRA; active ~2mo ago, 63% recruiter response"
CAND_0057563,41,5.795391,"NLP Engineer, 6.8y; recommendation & matching and embeddings evidence present and maps to the JD's core mandate of owning the retrieval + ranking intelligence layer. expert in Hugging Face Transformers; concern: not currently marked open to work"
CAND_0079064,42,5.794431,"Senior Data Scientist, 5.2y; retrieval/search and embeddings evidence present and matches the JD's preference for hands-on ML systems over pure research. expert in OpenSearch; concern: long notice period (120 days)"
CAND_0086022,43,5.794077,"Senior Applied Scientist, 5.3y; retrieval/search and ranking evidence present and aligns with the JD's emphasis on embeddings-based retrieval and evaluation rigor. advanced in Recommendation Systems; recently active, 55% recruiter response"
CAND_0054394,44,5.793074,"Recommendation Systems Engineer, 4.1y; retrieval/search and embeddings evidence present and matches the JD's preference for hands-on ML systems over pure research. expert in Fine-tuning LLMs; concern: experience (4y) is below the JD's 6-8y sweet spot"
CAND_0010257,45,5.792528,"Senior Data Scientist, 6.5y; recommendation & matching and embeddings evidence present and aligns with the JD's emphasis on embeddings-based retrieval and evaluation rigor. expert in Recommendation Systems; concern: long notice period (120 days)"
CAND_0044222,46,5.791658,"AI Engineer, 7.7y; retrieval/search and embeddings evidence present and aligns with the JD's emphasis on embeddings-based retrieval and evaluation rigor. advanced in Fine-tuning LLMs; recently active, 60% recruiter response"
CAND_0030348,47,5.790318,"Machine Learning Engineer, 4.5y; recommendation & matching and embeddings evidence present and maps to the JD's core mandate of owning the retrieval + ranking intelligence layer. expert in pgvector; concern: experience (4y) is below the JD's 6-8y sweet spot"
CAND_0066376,48,5.790162,"Applied ML Engineer, 5.7y; recommendation & matching and embeddings evidence present and fits the JD's 'built search/ranking/recsys at a product company' profile. expert in LoRA; recently active, 51% recruiter response"
CAND_0087630,49,5.788982,"AI Engineer, 7.2y; recommendation & matching and embeddings evidence present and directly matches the JD's need for production retrieval and ranking systems. advanced in Deep Learning; concern: not currently marked open to work"
CAND_0065878,50,5.788744,"Senior Data Scientist, 7.8y; recommendation & matching and embeddings evidence present and maps to the JD's core mandate of owning the retrieval + ranking intelligence layer. advanced in Recommendation Systems; active ~2mo ago, 48% recruiter response"
CAND_0066999,51,5.787912,"Recommendation Systems Engineer, 5.9y; retrieval/search and ranking evidence present and matches the JD's preference for hands-on ML systems over pure research. expert in FAISS; recently active, 63% recruiter response"
CAND_0007412,52,5.786579,"Applied ML Engineer, 7.4y; retrieval/search and embeddings evidence present and aligns with the JD's emphasis on embeddings-based retrieval and evaluation rigor. advanced in Milvus; concern: long notice period (120 days)"
CAND_0016163,53,5.785854,"Applied ML Engineer, 6.7y; retrieval/search and embeddings evidence present and maps to the JD's core mandate of owning the retrieval + ranking intelligence layer. advanced in LoRA; concern: long notice period (120 days)"
CAND_0043228,54,5.785000,"Applied ML Engineer, 6.8y; retrieval/search and ranking evidence present and maps to the JD's core mandate of owning the retrieval + ranking intelligence layer. expert in Sentence Transformers; concern: not currently marked open to work"
CAND_0096142,55,5.784933,"Applied ML Engineer, 5.0y; recommendation & matching and embeddings evidence present and aligns with the JD's emphasis on embeddings-based retrieval and evaluation rigor. advanced in RAG; concern: long notice period (120 days)"
CAND_0009691,56,5.784693,"Applied ML Engineer, 6.2y; recommendation & matching and embeddings evidence present and fits the JD's 'built search/ranking/recsys at a product company' profile. expert in Fine-tuning LLMs; concern: long notice period (120 days)"
CAND_0039383,57,5.783784,"Applied ML Engineer, 7.1y; retrieval/search and embeddings evidence present and maps to the JD's core mandate of owning the retrieval + ranking intelligence layer. advanced in NLP; active ~2mo ago, 61% recruiter response"
CAND_0081053,58,5.783336,"NLP Engineer, 5.4y; recommendation & matching and embeddings evidence present and maps to the JD's core mandate of owning the retrieval + ranking intelligence layer. expert in QLoRA; active ~2mo ago, 83% recruiter response"
CAND_0010685,59,5.783305,"NLP Engineer, 6.7y; retrieval/search and ranking evidence present and directly matches the JD's need for production retrieval and ranking systems. advanced in Deep Learning; active ~2mo ago, 83% recruiter response"
CAND_0011432,60,5.783035,"Senior Data Scientist, 7.6y; retrieval/search and embeddings evidence present and aligns with the JD's emphasis on embeddings-based retrieval and evaluation rigor. advanced in Elasticsearch; active ~2mo ago, 67% recruiter response"
CAND_0069905,61,5.782926,"Applied ML Engineer, 6.6y; retrieval/search and embeddings evidence present and directly matches the JD's need for production retrieval and ranking systems. expert in Sentence Transformers; recently active, 78% recruiter response"
CAND_0041610,62,5.782837,"Recommendation Systems Engineer, 6.7y; retrieval/search and ranking evidence present and directly matches the JD's need for production retrieval and ranking systems. expert in OpenSearch; recently active, 52% recruiter response"
CAND_0042506,63,5.781433,"Search Engineer, 4.2y; recommendation & matching and embeddings evidence present and fits the JD's 'built search/ranking/recsys at a product company' profile. expert in NLP; concern: experience (4y) is below the JD's 6-8y sweet spot"
CAND_0093912,64,5.781345,"Senior Data Scientist, 5.3y; retrieval/search and embeddings evidence present and aligns with the JD's emphasis on embeddings-based retrieval and evaluation rigor. expert in Milvus; recently active, 66% recruiter response"
CAND_0047721,65,5.781097,"Senior Data Scientist, 7.0y; recommendation & matching and embeddings evidence present and fits the JD's 'built search/ranking/recsys at a product company' profile. expert in Learning to Rank; concern: not currently marked open to work"
CAND_0095528,66,5.780609,"Senior Data Scientist, 5.3y; recommendation & matching and embeddings evidence present and maps to the JD's core mandate of owning the retrieval + ranking intelligence layer. expert in pgvector; recently active, 55% recruiter response"
CAND_0027801,67,5.779714,"NLP Engineer, 7.4y; retrieval/search and embeddings evidence present and fits the JD's 'built search/ranking/recsys at a product company' profile. expert in Milvus; concern: long notice period (120 days)"
CAND_0086151,68,5.778766,"Recommendation Systems Engineer, 7.7y; recommendation & matching and embeddings evidence present and fits the JD's 'built search/ranking/recsys at a product company' profile. expert in Qdrant; concern: long notice period (120 days)"
CAND_0030953,69,5.778559,"Search Engineer, 7.8y; recommendation & matching and embeddings evidence present and maps to the JD's core mandate of owning the retrieval + ranking intelligence layer. advanced in Learning to Rank; concern: not currently marked open to work"
CAND_0030031,70,5.778349,"AI Engineer, 5.7y; recommendation & matching and embeddings evidence present and fits the JD's 'built search/ranking/recsys at a product company' profile. expert in NLP; concern: not currently marked open to work"
CAND_0015528,71,5.777998,"Applied ML Engineer, 7.4y: recommendation & matching and embeddings background included for shortlist depth; maps to the JD's core mandate of owning the retrieval + ranking intelligence layer. expert in Information Retrieval; concern: not currently marked open to work"
CAND_0080766,72,5.777917,"Staff Machine Learning Engineer, 8.8y: retrieval/search and ranking background included for shortlist depth; fits the JD's 'built search/ranking/recsys at a product company' profile. advanced in OpenSearch; concern: not currently marked open to work"
CAND_0075574,73,5.777522,"Machine Learning Engineer, 5.7y: retrieval/search and ranking background included for shortlist depth; matches the JD's preference for hands-on ML systems over pure research. expert in Weaviate; recently active, 58% recruiter response"
CAND_0078492,74,5.776829,"Recommendation Systems Engineer, 5.1y: retrieval/search and ranking background included for shortlist depth; aligns with the JD's emphasis on embeddings-based retrieval and evaluation rigor. expert in FAISS; recently active, 70% recruiter response"
CAND_0006557,75,5.775362,"NLP Engineer, 7.9y: retrieval/search and ranking background included for shortlist depth; aligns with the JD's emphasis on embeddings-based retrieval and evaluation rigor. expert in Qdrant; concern: long notice period (120 days)"
CAND_0029367,76,5.775319,"Senior Data Scientist, 5.7y: retrieval/search and embeddings background included for shortlist depth; aligns with the JD's emphasis on embeddings-based retrieval and evaluation rigor. expert in Recommendation Systems; recently active, 77% recruiter response"
CAND_0042029,77,5.774112,"Senior Data Scientist, 6.5y: retrieval/search and embeddings background included for shortlist depth; matches the JD's preference for hands-on ML systems over pure research. advanced in Learning to Rank; concern: not currently marked open to work"
CAND_0044855,78,5.773939,"Senior Data Scientist, 6.6y: recommendation & matching and embeddings background included for shortlist depth; directly matches the JD's need for production retrieval and ranking systems. advanced in Hugging Face Transformers; concern: not currently marked open to work"
CAND_0005649,79,5.772628,"Senior Data Scientist, 7.4y: retrieval/search and embeddings background included for shortlist depth; matches the JD's preference for hands-on ML systems over pure research. expert in Information Retrieval; recently active, 57% recruiter response"
CAND_0083879,80,5.772442,"Machine Learning Engineer, 7.1y: ranking and offline/online ranking evaluation background included for shortlist depth; matches the JD's preference for hands-on ML systems over pure research. expert in Hugging Face Transformers; recently active, 47% recruiter response"
CAND_0042100,81,5.772005,"Machine Learning Engineer, 7.3y: retrieval/search and ranking background included for shortlist depth; directly matches the JD's need for production retrieval and ranking systems. advanced in Semantic Search; concern: based outside India, willing to relocate"
CAND_0079284,82,5.770426,"Machine Learning Engineer, 4.9y: recommendation & matching and embeddings background included for shortlist depth; matches the JD's preference for hands-on ML systems over pure research. advanced in QLoRA; concern: not currently marked open to work"
CAND_0076251,83,5.770215,"Search Engineer, 7.6y: retrieval/search and embeddings background included for shortlist depth; fits the JD's 'built search/ranking/recsys at a product company' profile. expert in Hugging Face Transformers; recently active, 51% recruiter response"
CAND_0070485,84,5.769157,"Search Engineer, 6.4y: retrieval/search and embeddings background included for shortlist depth; directly matches the JD's need for production retrieval and ranking systems. advanced in QLoRA; concern: long notice period (120 days)"
CAND_0052335,85,5.768871,"Applied ML Engineer, 6.4y: retrieval/search and ranking background included for shortlist depth; directly matches the JD's need for production retrieval and ranking systems. expert in Learning to Rank; concern: based outside India, willing to relocate"
CAND_0064904,86,5.768863,"AI Engineer, 4.9y: recommendation & matching and embeddings background included for shortlist depth; matches the JD's preference for hands-on ML systems over pure research. advanced in Hugging Face Transformers; concern: experience (5y) is below the JD's 6-8y sweet spot"
CAND_0015578,87,5.768337,"AI Engineer, 5.4y: retrieval/search and embeddings background included for shortlist depth; maps to the JD's core mandate of owning the retrieval + ranking intelligence layer. expert in FAISS; recently active, 65% recruiter response"
CAND_0098846,88,5.767844,"AI Engineer, 7.6y: retrieval/search and ranking background included for shortlist depth; fits the JD's 'built search/ranking/recsys at a product company' profile. expert in Recommendation Systems; recently active, 62% recruiter response"
CAND_0031593,89,5.767242,"Search Engineer, 7.8y: retrieval/search and ranking background included for shortlist depth; maps to the JD's core mandate of owning the retrieval + ranking intelligence layer. advanced in Hugging Face Transformers; active ~2mo ago, 58% recruiter response"
CAND_0049896,90,5.766913,"Search Engineer, 7.3y: recommendation & matching and embeddings background included for shortlist depth; fits the JD's 'built search/ranking/recsys at a product company' profile. expert in Information Retrieval; recently active, 43% recruiter response"
CAND_0065195,91,5.766140,"Search Engineer, 5.1y: retrieval/search and embeddings background included for shortlist depth; directly matches the JD's need for production retrieval and ranking systems. advanced in Hugging Face Transformers; recently active, 80% recruiter response"
CAND_0028793,92,5.765992,"Search Engineer, 7.2y: retrieval/search and embeddings background included for shortlist depth; maps to the JD's core mandate of owning the retrieval + ranking intelligence layer. expert in LoRA; concern: long notice period (120 days)"
CAND_0054123,93,5.765796,"Applied ML Engineer, 4.7y: recommendation & matching and embeddings background included for shortlist depth; maps to the JD's core mandate of owning the retrieval + ranking intelligence layer. advanced in Vector Search; concern: not currently marked open to work"
CAND_0033861,94,5.764041,"Senior NLP Engineer, 8.0y: retrieval/search and embeddings background included for shortlist depth; fits the JD's 'built search/ranking/recsys at a product company' profile. expert in Milvus; concern: low recruiter response rate (16%)"
CAND_0018722,95,5.763350,"Recommendation Systems Engineer, 6.6y: retrieval/search and embeddings background included for shortlist depth; aligns with the JD's emphasis on embeddings-based retrieval and evaluation rigor. expert in Hugging Face Transformers; concern: based outside India, willing to relocate"
CAND_0005538,96,5.763174,"Senior AI Engineer, 5.9y: retrieval/search and recommendation & matching background included for shortlist depth; maps to the JD's core mandate of owning the retrieval + ranking intelligence layer. advanced in Information Retrieval Systems; recently active, 81% recruiter response"
CAND_0070398,97,5.761850,"Machine Learning Engineer, 7.2y: retrieval/search and embeddings background included for shortlist depth; maps to the JD's core mandate of owning the retrieval + ranking intelligence layer. expert in BM25; concern: long notice period (120 days)"
CAND_0030468,98,5.761647,"Senior Applied Scientist, 5.4y: retrieval/search and ranking background included for shortlist depth; maps to the JD's core mandate of owning the retrieval + ranking intelligence layer. expert in Search & Discovery; recently active, 78% recruiter response"
CAND_0055905,99,5.760733,"Senior Machine Learning Engineer, 8.1y: retrieval/search and embeddings background included for shortlist depth; directly matches the JD's need for production retrieval and ranking systems. expert in OpenSearch; concern: based outside India, not open to relocation"
CAND_0081852,100,5.760092,"Senior Data Scientist, 5.9y: retrieval/search and embeddings background included for shortlist depth; aligns with the JD's emphasis on embeddings-based retrieval and evaluation rigor. expert in LoRA; recently active, 44% recruiter response"
